Dataset,Row,Col,Type,Tr_Acc,Val_Acc,Tr_loss,Val_loss
cleve.csv,303,13,TrainA,0.8514851485148515,0.8514851485148515,0.3603532612323761,0.3603532612323761
fri_c2_100_10.csv,100,10,TrainA,0.78,0.78,0.5571273565292358,0.5571273565292358
fri_c3_100_5.csv,100,5,TrainA,0.74,0.74,0.5888212323188782,0.5888212323188782
tecator.csv,240,124,TrainA,0.9875,0.9875,0.04959338530898094,0.04959338530898094
acute-inflammations.csv,120,6,TrainA,1.0,1.0,0.016755152493715286,0.016755152493715286
fri_c4_250_25.csv,250,25,TrainA,0.868,0.868,0.3871275782585144,0.3871275782585144
fri_c2_250_5.csv,250,5,TrainA,0.792,0.792,0.5135243535041809,0.5135243535041809
kc1-top5.csv,145,94,TrainA,0.9724137931034482,0.9724137931034482,0.0646587535738945,0.0646587535738945
AP_Omentum_Lung.csv,203,10935,TrainA,1.0,1.0,0.002204886404797435,0.002204886404797435
AP_Prostate_Lung.csv,195,10935,TrainA,1.0,1.0,0.021834371611475945,0.021834371611475945
fri_c0_250_50.csv,250,50,TrainA,0.972,0.972,0.09616417437791824,0.09616417437791824
fri_c1_250_25.csv,250,25,TrainA,0.788,0.788,0.479364812374115,0.479364812374115
fishcatch.csv,158,6,TrainA,0.35443037974683544,0.35443037974683544,0.7404803037643433,0.7404803037643433
AP_Prostate_Ovary.csv,267,10935,TrainA,1.0,1.0,0.006447218358516693,0.006447218358516693
fri_c2_100_50.csv,100,50,TrainA,0.69,0.69,0.6038528680801392,0.6038528680801392
fri_c4_250_50.csv,250,50,TrainA,0.96,0.96,0.21575908362865448,0.21575908362865448
fri_c4_100_50.csv,100,50,TrainA,0.88,0.88,0.44185248017311096,0.44185248017311096
pwLinear.csv,200,10,TrainA,0.915,0.915,0.22523584961891174,0.22523584961891174
fri_c0_250_25.csv,250,25,TrainA,0.944,0.944,0.19050206243991852,0.19050206243991852
fri_c0_100_50.csv,100,50,TrainA,0.73,0.73,0.5683266520500183,0.5683266520500183
chscase_funds.csv,185,2,TrainA,0.6864864864864865,0.6864864864864865,0.5765958428382874,0.5765958428382874
analcatdata_challenger.csv,138,2,TrainA,0.9347826086956522,0.9347826086956522,0.21491879224777222,0.21491879224777222
triazines.csv,186,60,TrainA,0.8655913978494624,0.8655913978494624,0.2567930817604065,0.2567930817604065
backache.csv,180,31,TrainA,0.9277777777777778,0.9277777777777778,0.23183201253414154,0.23183201253414154
sleuth_case2002.csv,147,6,TrainA,0.6802721088435374,0.6802721088435374,0.596022367477417,0.596022367477417
arcene.csv,200,10000,TrainA,0.995,0.995,0.017369922250509262,0.017369922250509262
MegaWatt1.csv,253,37,TrainA,0.8932806324110671,0.8932806324110671,0.2379845827817917,0.2379845827817917
chscase_census5.csv,400,7,TrainA,0.5475,0.5475,0.6848186254501343,0.6848186254501343
analcatdata_lawsuit.csv,264,4,TrainA,0.9659090909090909,0.9659090909090909,0.07556840032339096,0.07556840032339096
chscase_census2.csv,400,7,TrainA,0.5375,0.5375,0.6835389733314514,0.6835389733314514
anthracyclineTaxaneChemotherapy.csv,159,61359,TrainA,0.9937106918238994,0.9937106918238994,0.038471769541502,0.038471769541502
ionosphere.csv,351,34,TrainA,0.98005698005698,0.98005698005698,0.10922771692276001,0.10922771692276001
MeanWhile1.csv,253,37,TrainA,0.9169960474308301,0.9169960474308301,0.21738898754119873,0.21738898754119873
fri_c3_250_5.csv,250,5,TrainA,0.84,0.84,0.42588332295417786,0.42588332295417786
wisconsin.csv,194,32,TrainA,0.6752577319587629,0.6752577319587629,0.6287960410118103,0.6287960410118103
chscase_geyser1.csv,222,2,TrainA,0.9054054054054054,0.9054054054054054,0.27164629101753235,0.27164629101753235
heart_statlog.csv,270,13,TrainA,0.8925925925925926,0.8925925925925926,0.292428582906723,0.292428582906723
grub-damage.csv,155,8,TrainA,0.8193548387096774,0.8193548387096774,0.4347776472568512,0.4347776472568512
molecular_biology_promoters.csv,106,57,TrainA,1.0,1.0,0.06880080699920654,0.06880080699920654
fri_c3_250_10.csv,250,10,TrainA,0.776,0.776,0.46469810605049133,0.46469810605049133
fertility.csv,100,9,TrainA,0.86,0.86,0.4926622807979584,0.4926622807979584
chscase_census4.csv,400,7,TrainA,0.6025,0.6025,0.6807982921600342,0.6807982921600342
fri_c4_250_10.csv,250,10,TrainA,0.716,0.716,0.6017053723335266,0.6017053723335266
prnn_synth.csv,250,2,TrainA,0.836,0.836,0.3186706304550171,0.3186706304550171
AP_Colon_Prostate.csv,355,10935,TrainA,1.0,1.0,0.013995054177939892,0.013995054177939892
AP_Omentum_Kidney.csv,337,10935,TrainA,1.0,1.0,0.002105492865666747,0.002105492865666747
fri_c2_250_25.csv,250,25,TrainA,0.892,0.892,0.3279009759426117,0.3279009759426117
rabe_266.csv,120,2,TrainA,0.975,0.975,0.07318362593650818,0.07318362593650818
autoPrice.csv,159,15,TrainA,0.9874213836477987,0.9874213836477987,0.04635465145111084,0.04635465145111084
cloud.csv,108,7,TrainA,0.6666666666666666,0.6666666666666666,0.6457318067550659,0.6457318067550659
corral.csv,160,6,TrainA,1.0,1.0,0.06334125250577927,0.06334125250577927
breast-cancer-dropped-missing-attributes-values.csv,277,9,TrainA,0.7617328519855595,0.7617328519855595,0.49312660098075867,0.49312660098075867
auto_price.csv,159,15,TrainA,0.9874213836477987,0.9874213836477987,0.045446522533893585,0.045446522533893585
kc1-binary.csv,145,94,TrainA,0.9655172413793104,0.9655172413793104,0.10949208587408066,0.10949208587408066
plasma_retinol.csv,315,13,TrainA,0.6349206349206349,0.6349206349206349,0.6390594244003296,0.6390594244003296
AP_Lung_Uterus.csv,250,10935,TrainA,1.0,1.0,0.001509463181719184,0.001509463181719184
fri_c4_100_100.csv,100,100,TrainA,0.92,0.92,0.37486910820007324,0.37486910820007324
ar4.csv,107,29,TrainA,0.9065420560747663,0.9065420560747663,0.3265426456928253,0.3265426456928253
chscase_census3.csv,400,7,TrainA,0.5625,0.5625,0.6814513206481934,0.6814513206481934
fri_c0_250_5.csv,250,5,TrainA,0.864,0.864,0.34003064036369324,0.34003064036369324
fri_c4_100_25.csv,100,25,TrainA,0.72,0.72,0.6120617389678955,0.6120617389678955
molecular-biology_promoters.csv,106,57,TrainA,0.9716981132075472,0.9716981132075472,0.05401331186294556,0.05401331186294556
breast_cancer.csv,286,9,TrainA,0.7867132867132867,0.7867132867132867,0.4859931766986847,0.4859931766986847
diggle_table_a2.csv,310,8,TrainA,0.9935483870967742,0.9935483870967742,0.02408704161643982,0.02408704161643982
analcatdata_wildcat.csv,163,5,TrainA,0.7607361963190185,0.7607361963190185,0.589706301689148,0.589706301689148
appendicitis.csv,106,7,TrainA,0.3867924528301887,0.3867924528301887,0.7390064597129822,0.7390064597129822
AP_Omentum_Uterus.csv,201,10935,TrainA,1.0,1.0,0.00879894569516182,0.00879894569516182
blogger.csv,100,5,TrainA,0.68,0.68,0.6195908188819885,0.6195908188819885
humandevel.csv,130,1,TrainA,0.35384615384615387,0.35384615384615387,0.7811919450759888,0.7811919450759888
chscase_census6.csv,400,6,TrainA,0.62,0.62,0.6475138664245605,0.6475138664245605
fri_c1_250_50.csv,250,50,TrainA,0.936,0.936,0.22605392336845398,0.22605392336845398
bupa.csv,345,5,TrainA,0.6608695652173913,0.6608695652173913,0.6347967386245728,0.6347967386245728
SPECT.csv,267,22,TrainA,0.8876404494382022,0.8876404494382022,0.2675023674964905,0.2675023674964905
fri_c2_100_25.csv,100,25,TrainA,0.76,0.76,0.567327618598938,0.567327618598938
KungChi3.csv,123,39,TrainA,0.943089430894309,0.943089430894309,0.2012922465801239,0.2012922465801239
lungcancer_GSE31210.csv,226,23,TrainA,0.8893805309734514,0.8893805309734514,0.2739194929599762,0.2739194929599762
vinnie.csv,380,2,TrainA,0.8526315789473684,0.8526315789473684,0.3486648201942444,0.3486648201942444
AP_Omentum_Ovary.csv,275,10935,TrainA,0.9890909090909091,0.9890909090909091,0.013517488725483418,0.013517488725483418
datatrieve.csv,130,8,TrainA,0.9153846153846154,0.9153846153846154,0.25242891907691956,0.25242891907691956
iris.csv,150,4,TrainA,1.0,1.0,0.002006250200793147,0.002006250200793147
fri_c1_100_5.csv,100,5,TrainA,0.68,0.68,0.6359078884124756,0.6359078884124756
promoters.csv,106,58,TrainA,1.0,1.0,0.014016114175319672,0.014016114175319672
pc1_req.csv,320,8,TrainA,0.703125,0.703125,0.5801509618759155,0.5801509618759155
