Dataset,Row,Col,Val_Size,Type,Tr_Acc,Val_Acc,Tr_loss,Val_loss
heart_h.csv,294,13,0.2,TrainA,0.8723404255319149,0.8135593220338984,0.33770158886909485,0.36584290862083435
heart_h.csv,294,13,0.2,TrainB,0.8723404255319149,0.7966101694915254,0.3264991343021393,0.36452001333236694
heart_h.csv,294,13,0.2,TrainD,0.8425531914893617,0.847457627118644,0.3929758369922638,0.38098928332328796
machine_cpu.csv,209,6,0.2,TrainA,0.9580838323353293,0.9047619047619048,0.1407230943441391,0.22074560821056366
machine_cpu.csv,209,6,0.2,TrainB,0.9580838323353293,0.9047619047619048,0.12453456223011017,0.2254784256219864
machine_cpu.csv,209,6,0.2,TrainD,0.9640718562874252,0.9047619047619048,0.1403246372938156,0.24718795716762543
ar4.csv,107,29,0.2,TrainA,0.8941176470588236,0.7727272727272727,0.5823430418968201,0.7162792682647705
ar4.csv,107,29,0.2,TrainB,0.8941176470588236,0.8181818181818182,0.3469851315021515,0.5298279523849487
AP_Colon_Omentum.csv,363,10935,0.2,TrainA,0.9758620689655172,0.8767123287671232,0.0854213684797287,0.31076177954673767
AP_Colon_Omentum.csv,363,10935,0.2,TrainB,1.0,0.9041095890410958,0.04836755990982056,0.25131136178970337
fruitfly.csv,125,4,0.2,TrainA,0.6,0.64,0.6707507371902466,0.6077979207038879
fruitfly.csv,125,4,0.2,TrainB,0.6,0.64,0.6645681858062744,0.6145912408828735
fruitfly.csv,125,4,0.2,TrainD,0.55,0.6,0.6763464212417603,0.7304145693778992
fri_c3_250_5.csv,250,5,0.2,TrainA,0.67,0.68,0.5813156366348267,0.5749331712722778
fri_c3_250_5.csv,250,5,0.2,TrainB,0.77,0.72,0.5491638779640198,0.5510284900665283
fri_c3_250_5.csv,250,5,0.2,TrainD,0.66,0.78,0.6670287251472473,0.6028859615325928
fri_c1_250_25.csv,250,25,0.2,TrainA,0.655,0.6,0.6385543942451477,0.6630479693412781
fri_c1_250_25.csv,250,25,0.2,TrainB,0.665,0.62,0.6186431646347046,0.6688703298568726
fri_c1_250_25.csv,250,25,0.2,TrainD,0.64,0.6,0.6693646907806396,0.6359309554100037
fri_c3_100_25.csv,100,25,0.2,TrainA,0.7,0.6,0.6275805234909058,0.6493154168128967
fri_c3_100_25.csv,100,25,0.2,TrainB,0.725,0.6,0.6035290956497192,0.6579321622848511
fri_c3_100_25.csv,100,25,0.2,TrainD,0.675,0.5,0.615695595741272,0.7636680603027344
veteran.csv,137,7,0.2,TrainA,0.7522935779816514,0.75,0.49774691462516785,0.5935227274894714
veteran.csv,137,7,0.2,TrainB,0.7889908256880734,0.7142857142857143,0.47976431250572205,0.5957420468330383
veteran.csv,137,7,0.2,TrainD,0.6972477064220184,0.75,0.5496802926063538,0.5492812991142273
wisconsin.csv,194,32,0.2,TrainA,0.7161290322580646,0.6153846153846154,0.5908679366111755,0.6283451318740845
wisconsin.csv,194,32,0.2,TrainB,0.7290322580645161,0.5641025641025641,0.5779179334640503,0.6446565389633179
wisconsin.csv,194,32,0.2,TrainD,0.6967741935483871,0.6410256410256411,0.5875334739685059,0.6452450752258301
bupa.csv,345,5,0.2,TrainA,0.5760869565217391,0.36231884057971014,0.6728993058204651,0.70392245054245
bupa.csv,345,5,0.2,TrainB,0.6268115942028986,0.4492753623188406,0.653214693069458,0.6883897185325623
bupa.csv,345,5,0.2,TrainD,0.6195652173913043,0.5362318840579711,0.6601424813270569,0.6632184982299805
prnn_synth.csv,250,2,0.2,TrainA,0.86,0.9,0.3315258026123047,0.3041929006576538
prnn_synth.csv,250,2,0.2,TrainB,0.87,0.86,0.32398152351379395,0.2932582497596741
prnn_synth.csv,250,2,0.2,TrainD,0.84,0.84,0.34735381603240967,0.3156003952026367
pwLinear.csv,200,10,0.2,TrainA,0.91875,0.825,0.24618032574653625,0.31063902378082275
pwLinear.csv,200,10,0.2,TrainB,0.925,0.8,0.21703557670116425,0.3050588369369507
badges2.csv,294,10,0.2,TrainA,1.0,1.0,0.0032821393106132746,0.003219929290935397
badges2.csv,294,10,0.2,TrainB,1.0,1.0,0.001260340097360313,0.0012573784915730357
ionosphere.csv,351,34,0.2,TrainA,0.9714285714285714,0.9154929577464789,0.1107146218419075,0.2506270110607147
ionosphere.csv,351,34,0.2,TrainB,0.9714285714285714,0.9014084507042254,0.09098180383443832,0.2385321855545044
ionosphere.csv,351,34,0.2,TrainD,0.9642857142857143,0.8732394366197183,0.11181233823299408,0.3980104625225067
ar6.csv,101,29,0.2,TrainA,0.925,0.8095238095238095,0.3733665943145752,0.4451592266559601
ar6.csv,101,29,0.2,TrainB,0.925,0.8095238095238095,0.29754364490509033,0.4142671823501587
ar6.csv,101,29,0.2,TrainD,0.9,0.7142857142857143,0.2655286192893982,9.941710472106934
fri_c3_250_50.csv,250,50,0.2,TrainA,0.695,0.6,0.6161147952079773,0.6585133075714111
fri_c3_250_50.csv,250,50,0.2,TrainB,0.72,0.6,0.5875704884529114,0.6760944128036499
fri_c3_250_50.csv,250,50,0.2,TrainD,0.71,0.64,0.5499172806739807,0.6327479481697083
AP_Omentum_Prostate.csv,146,10935,0.2,TrainA,1.0,1.0,0.020547814667224884,0.0174026470631361
AP_Omentum_Prostate.csv,146,10935,0.2,TrainB,1.0,1.0,0.004826767835766077,0.004831599537283182
fri_c1_100_50.csv,100,50,0.2,TrainA,0.5875,0.55,0.6500675082206726,0.6526609063148499
fri_c1_100_50.csv,100,50,0.2,TrainB,0.675,0.6,0.6121300458908081,0.6559327840805054
fri_c1_100_50.csv,100,50,0.2,TrainD,0.6875,0.7,0.6215780973434448,0.6428099870681763
chscase_funds.csv,185,2,0.2,TrainA,0.7297297297297297,0.6216216216216216,0.53937828540802,0.6485524773597717
chscase_funds.csv,185,2,0.2,TrainB,0.7297297297297297,0.5945945945945946,0.5361116528511047,0.6430547833442688
chscase_funds.csv,185,2,0.2,TrainD,0.6824324324324325,0.5675675675675675,0.582240104675293,0.7023069858551025
visualizing_environmental.csv,111,3,0.2,TrainA,0.7045454545454546,0.6521739130434783,0.573771059513092,0.5800679326057434
visualizing_environmental.csv,111,3,0.2,TrainB,0.75,0.6521739130434783,0.5561840534210205,0.5705347657203674
visualizing_environmental.csv,111,3,0.2,TrainD,0.7045454545454546,0.6521739130434783,0.5750828981399536,0.5429091453552246
corral.csv,160,6,0.2,TrainA,0.984375,0.96875,0.06498881429433823,0.06495930254459381
corral.csv,160,6,0.2,TrainB,0.984375,0.96875,0.06682833284139633,0.06818923354148865
fri_c0_100_10.csv,100,10,0.2,TrainA,0.9375,0.85,0.2839624583721161,0.38501814007759094
fri_c0_100_10.csv,100,10,0.2,TrainB,0.9625,0.85,0.2305753529071808,0.3735661804676056
fri_c0_100_10.csv,100,10,0.2,TrainD,0.8125,0.85,0.40662747621536255,0.515149712562561
mux6.csv,128,6,0.2,TrainA,0.696078431372549,0.7307692307692307,0.596252977848053,0.6049719452857971
mux6.csv,128,6,0.2,TrainB,0.7058823529411765,0.7692307692307693,0.5362358689308167,0.5664507150650024
mux6.csv,128,6,0.2,TrainD,0.6764705882352942,0.7307692307692307,0.6127206683158875,0.6018213033676147
fri_c2_250_10.csv,250,10,0.2,TrainA,0.845,0.82,0.49912235140800476,0.4961433708667755
fri_c2_250_10.csv,250,10,0.2,TrainB,0.845,0.8,0.4853110909461975,0.4855075478553772
fri_c2_250_10.csv,250,10,0.2,TrainD,0.85,0.88,0.4556382894515991,0.4330706298351288
KungChi3.csv,123,39,0.2,TrainA,0.8673469387755102,0.76,0.4949846863746643,0.562006950378418
KungChi3.csv,123,39,0.2,TrainB,0.9081632653061225,0.72,0.39240148663520813,0.5275627374649048
KungChi3.csv,123,39,0.2,TrainD,0.9081632653061225,0.84,0.37080544233322144,0.44465959072113037
heart_statlog.csv,270,13,0.2,TrainA,0.8611111111111112,0.8333333333333334,0.3390043377876282,0.3541578948497772
heart_statlog.csv,270,13,0.2,TrainB,0.8703703703703703,0.8518518518518519,0.3204001188278198,0.3417351543903351
heart_statlog.csv,270,13,0.2,TrainD,0.8657407407407407,0.8888888888888888,0.3471599817276001,0.31836673617362976
fri_c4_100_50.csv,100,50,0.2,TrainA,0.625,0.6,0.6332300305366516,0.6764369010925293
fri_c4_100_50.csv,100,50,0.2,TrainB,0.65,0.55,0.6077530384063721,0.6824270486831665
fri_c4_100_50.csv,100,50,0.2,TrainD,0.65,0.6,0.6504900455474854,0.6891506314277649
promoters.csv,106,58,0.2,TrainA,1.0,0.8181818181818182,0.11468885093927383,0.43979522585868835
