Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
AP_Colon_Omentum.csv,363,10935,0.9394636015325671,0.9632183908045976,0.963984674329502,0.1367005738947126,0.1295029529266887,0.14030287911494568,0.9375951293759512,0.9421613394216133,0.7656012176560121,0.15336037178834275,0.15482202668984726,0.5342888318830066,Increased,Decreased,Increased,Increased,4,1,4,2,7,0,6,3,2,7,0
AP_Colon_Prostate.csv,355,10935,0.9922535211267606,0.993661971830986,0.9908450704225352,0.0546433493494987,0.042419116199016546,0.050363701581954926,0.971830985915493,0.971830985915493,0.8366197183098592,0.09355641081929204,0.08733474314212795,0.512273271381855,Decreased,Decreased,Increased,Increased,0,1,4,2,3,0,3,2,0,5,0
AP_Endometrium_Colon.csv,347,10935,0.9620938628158845,0.9626955475330927,0.9669073405535501,0.11272258684039112,0.10590161383152004,0.0988690927624702,0.942857142857143,0.942857142857143,0.9119047619047619,0.14048889900247252,0.13627527592082814,0.3345756729443868,Increased,Decreased,Decreased,Increased,2,0,4,6,0,0,2,4,4,2,0
AP_Endometrium_Kidney.csv,321,10935,0.9754464285714286,0.9760044642857143,0.9776785714285714,0.08376144564577508,0.08200507238507268,0.07680066674947734,0.9714285714285715,0.9736263736263737,0.8087912087912089,0.09100811609200066,0.0888944901525974,0.6304712338106973,Increased,Decreased,Decreased,Increased,2,1,4,5,2,0,4,3,2,5,0
AP_Endometrium_Lung.csv,187,10935,0.9904122722914669,0.9913710450623202,0.9904122722914669,0.0948897866266114,0.08667035613741189,0.08649952922548561,0.9285714285714286,0.9285714285714286,0.819548872180451,0.20381203347018786,0.20536271056958608,0.5041569428784507,Decreased,Decreased,Decreased,Increased,0,1,6,5,2,1,3,3,3,4,0
AP_Endometrium_Omentum.csv,138,10935,0.9977272727272728,0.9988636363636364,0.9965909090909091,0.15734646702185268,0.10229154815897341,0.1375300073996186,0.8883928571428571,0.8973214285714286,0.7678571428571428,0.31260712910443544,0.29229178838431835,0.4757164530456066,Decreased,Decreased,Increased,Increased,0,2,6,2,6,2,3,3,2,6,0
AP_Endometrium_Ovary.csv,259,10935,0.9774557165861513,0.9763821792807299,0.9806763285024154,0.1720272021161185,0.13585594544808066,0.14263630410035447,0.9102564102564104,0.8974358974358976,0.8653846153846154,0.2563917603757646,0.24980425503518847,0.3252447214391496,Increased,Decreased,Increased,Increased,5,0,4,5,4,2,4,3,3,6,0
AP_Endometrium_Prostate.csv,130,10935,0.9989316239316239,1.0,1.0,0.011886671366583921,0.009287891805999756,0.006413820781744957,1.0,0.9957264957264957,0.8717948717948718,0.014169636053136623,0.02183811446755292,0.574309790144778,Same,Decreased,Decreased,Increased,0,0,9,7,2,0,2,7,5,4,0
AP_Endometrium_Uterus.csv,185,10935,0.9198841698841698,0.9613899613899614,0.9208494208494208,0.2698605890784945,0.24542628441538125,4.93133197086198,0.7606177606177607,0.7722007722007722,0.7490347490347491,0.4651534599917276,0.46896709714617046,5.025161483458111,Decreased,Decreased,Increased,Increased,0,1,6,1,6,1,4,2,3,4,0
AP_Lung_Kidney.csv,386,10935,0.981060606060606,0.9805194805194805,0.9788961038961039,0.09303446734944974,0.08811576416095095,0.09278184796373044,0.9594017094017095,0.950854700854701,0.7350427350427351,0.14330298081040382,0.14970491826534266,0.584000845750173,Decreased,Decreased,Increased,Increased,1,3,2,1,5,0,4,2,2,4,0
AP_Lung_Uterus.csv,250,10935,0.988125,0.98875,0.988125,0.12557075824588532,0.10729768872261045,0.0952991750091314,0.9325,0.935,0.6025,0.22842691652476785,0.223443366587162,0.5874162698164582,Decreased,Decreased,Decreased,Increased,1,3,4,5,3,0,6,2,1,7,0
AP_Omentum_Ovary.csv,275,10935,0.84375,0.84375,0.8431818181818181,0.34516763128340244,0.30955590680241585,12.109982082620263,0.7318181818181819,0.7295454545454545,0.7295454545454546,0.5054130591452122,0.5088580101728439,15.005636241286993,Decreased,Increased,Increased,Increased,0,1,7,3,5,2,1,5,3,5,0
AP_Omentum_Prostate.csv,146,10935,1.0,1.0,1.0,0.04703252886732414,0.042526362929493154,0.035224238876253325,0.9666666666666666,0.9666666666666666,0.6851851851851851,0.13392961744426024,0.13634380310152963,0.7119616652942367,Same,Decreased,Decreased,Increased,0,0,9,8,1,0,5,4,4,5,0
AP_Ovary_Lung.csv,324,10935,0.9874517374517374,0.9864864864864865,0.9845559845559846,0.12823369633406395,0.11314710788428778,0.11182715557515616,0.9019230769230768,0.8942307692307692,0.726923076923077,0.31219271197915077,0.32459179498255253,0.5181701481342316,Decreased,Decreased,Decreased,Increased,2,2,4,4,4,0,4,4,2,6,0
AP_Ovary_Uterus.csv,322,10935,0.9785992217898831,0.9790856031128403,0.9771400778210115,0.19861737638711927,0.1660936120897531,0.15635123196989298,0.8423076923076923,0.8346153846153846,0.7807692307692308,0.38112832605838776,0.38749564439058304,0.50135138630867,Decreased,Decreased,Decreased,Increased,1,2,5,5,3,3,4,1,4,4,0
AP_Prostate_Lung.csv,195,10935,0.9967948717948718,0.9983974358974359,0.9959935897435898,0.06725241732783611,0.031866260687820586,0.03749834466725582,0.9679487179487181,0.9807692307692308,0.7403846153846154,0.12607065588235852,0.07693865895271294,0.5559109167661518,Decreased,Decreased,Increased,Increased,1,3,4,3,5,1,6,1,1,7,0
