Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.03328668355643749,99.9825,0.4593962734222412,86.59,0.45690697727203367,0.8676,695.2187864780426
3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.011620244610309602,99.9575,0.5850361236572266,84.62,0.5585451488494872,0.848,694.3201067447662
5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.04696469842791557,99.78,0.4727622341156006,86.33,0.470229718208313,0.8641,694.6146821975708
7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.00630685800164938,99.995,0.52568137550354,85.22,0.5132239024162293,0.8532,694.3287160396576
9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.05166139703392982,99.765,0.4800452277183533,86.13,0.4773439016342163,0.8611,695.4757266044617
11,./checkpoints/CIFAR10/Run2_checkpoint_11.pth,0.04715613552033901,99.7675,0.47294626007080076,86.32,0.47041182098388673,0.8639,694.4367146492004
13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.02274002670943737,99.9925,0.44634901180267333,86.87,0.44570407581329347,0.8704,697.213769197464
15,./checkpoints/CIFAR10/Run2_checkpoint_15.pth,0.040854545086622236,99.8675,0.5107036023139954,84.09,0.5083728538513184,0.8438,694.5856976509094
17,./checkpoints/CIFAR10/Run2_checkpoint_17.pth,0.04581981991529465,99.905,0.5195197729110718,83.7,0.5123512741088867,0.8436,696.257453918457
19,./checkpoints/CIFAR10/Run2_checkpoint_19.pth,0.0197195595651865,99.8525,0.5128635435104371,85.3,0.5066412763595581,0.8556,695.1539571285248
