Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
0,./checkpoints/CIFAR10/Run1_checkpoint_0.pth,2.1528506015777586,85.67,2.1707386974334715,69.17,2.1761265266418457,0.6953,326.46200251579285
1,./checkpoints/CIFAR10/Run1_checkpoint_1.pth,2.285091819000244,84.7025,2.286798743438721,68.49,2.28670564994812,0.6813,326.4396119117737
2,./checkpoints/CIFAR10/Run1_checkpoint_2.pth,1.7754507675170899,85.7625,1.832983865737915,69.78,1.8345121257781982,0.6932,326.4167709350586
3,./checkpoints/CIFAR10/Run1_checkpoint_3.pth,0.18468987398147582,95.03,0.9139063625335694,75.27,0.9109714372634887,0.7554,326.78430128097534
4,./checkpoints/CIFAR10/Run1_checkpoint_4.pth,0.5315660336017609,91.53,0.9455265439033508,73.2,0.9612363910675049,0.7347,326.38835740089417
5,./checkpoints/CIFAR10/Run1_checkpoint_5.pth,1.5861499547958373,86.0625,1.6909288347244262,70.28,1.7031016401290893,0.6903,326.34903740882874
6,./checkpoints/CIFAR10/Run1_checkpoint_6.pth,0.23851469253301621,95.905,0.9896257489681244,75.25,0.9999808057785035,0.7558,326.44410467147827
7,./checkpoints/CIFAR10/Run1_checkpoint_7.pth,0.17708610754013063,95.785,0.8843063617706299,75.26,0.8960784242630004,0.7565,326.34491515159607
8,./checkpoints/CIFAR10/Run1_checkpoint_8.pth,0.17643839790821075,96.0375,0.9179257446289063,75.04,0.9298519021987915,0.7561,326.47464776039124
9,./checkpoints/CIFAR10/Run1_checkpoint_9.pth,1.0687051840782165,88.5025,1.2817377786636353,71.62,1.2954553005218505,0.7061,326.2962636947632
10,./checkpoints/CIFAR10/Run1_checkpoint_10.pth,0.2931239074230194,94.8725,1.0169790499687195,74.57,1.0323141342163087,0.7481,326.65899658203125
11,./checkpoints/CIFAR10/Run1_checkpoint_11.pth,1.3542171754837036,87.6275,1.5455407302856445,71.14,1.5540791770935058,0.7115,326.3287718296051
12,./checkpoints/CIFAR10/Run1_checkpoint_12.pth,1.6327043882369996,85.4475,1.743787225151062,68.9,1.7556180423736572,0.6838,326.33897519111633
13,./checkpoints/CIFAR10/Run1_checkpoint_13.pth,1.6890877563476563,86.5875,1.7650345783233643,70.2,1.7683565963745118,0.6948,326.21338391304016
14,./checkpoints/CIFAR10/Run1_checkpoint_14.pth,1.5055159572601318,87.18,1.591985597229004,70.91,1.5997781789779664,0.7007,326.4366149902344
15,./checkpoints/CIFAR10/Run1_checkpoint_15.pth,1.3446027086257935,88.54,1.5276808870315552,70.84,1.5428431871414185,0.7063,326.9270234107971
16,./checkpoints/CIFAR10/Run1_checkpoint_16.pth,0.3426098865509033,93.005,0.9579399393081665,73.46,0.9653709780693054,0.7413,326.79930448532104
17,./checkpoints/CIFAR10/Run1_checkpoint_17.pth,0.9511292657852173,88.5525,1.3329740005493165,70.75,1.3419301374435424,0.7054,326.1692085266113
18,./checkpoints/CIFAR10/Run1_checkpoint_18.pth,1.4384370895385743,86.6725,1.5401950357437133,70.23,1.5405745822906494,0.6999,326.32792687416077
19,./checkpoints/CIFAR10/Run1_checkpoint_19.pth,1.3186661277770997,88.21,1.4620757316589355,71.17,1.4808626852035522,0.7103,326.4023869037628
