Using device: cuda
Epoch [1/300], Train Loss: 1.9670, Train Acc: 31.01%
Epoch [2/300], Train Loss: 1.4025, Train Acc: 48.48%
Epoch [3/300], Train Loss: 1.1258, Train Acc: 59.39%
Epoch [4/300], Train Loss: 0.9232, Train Acc: 66.95%
Epoch [5/300], Train Loss: 0.7807, Train Acc: 72.27%
Epoch [6/300], Train Loss: 0.6494, Train Acc: 77.30%
Epoch [7/300], Train Loss: 0.5476, Train Acc: 80.92%
Epoch [8/300], Train Loss: 0.4579, Train Acc: 84.01%
Epoch [9/300], Train Loss: 0.4056, Train Acc: 85.79%
Epoch [10/300], Train Loss: 0.3503, Train Acc: 87.82%
Epoch [11/300], Train Loss: 0.3116, Train Acc: 89.16%
Epoch [12/300], Train Loss: 0.2802, Train Acc: 90.30%
Epoch [13/300], Train Loss: 0.2656, Train Acc: 90.80%
Epoch [14/300], Train Loss: 0.2372, Train Acc: 91.72%
Epoch [15/300], Train Loss: 0.2197, Train Acc: 92.30%
Epoch [16/300], Train Loss: 0.2126, Train Acc: 92.61%
Epoch [17/300], Train Loss: 0.2005, Train Acc: 92.98%
Epoch [18/300], Train Loss: 0.1921, Train Acc: 93.47%
Epoch [19/300], Train Loss: 0.1871, Train Acc: 93.53%
Epoch [20/300], Train Loss: 0.1787, Train Acc: 93.79%
Epoch [21/300], Train Loss: 0.1864, Train Acc: 93.58%
Epoch [22/300], Train Loss: 0.1680, Train Acc: 94.24%
Epoch [23/300], Train Loss: 0.1734, Train Acc: 94.02%
Epoch [24/300], Train Loss: 0.1688, Train Acc: 94.25%
Epoch [25/300], Train Loss: 0.1686, Train Acc: 94.23%
Epoch [26/300], Train Loss: 0.1610, Train Acc: 94.49%
Epoch [27/300], Train Loss: 0.1663, Train Acc: 94.26%
Epoch [28/300], Train Loss: 0.1594, Train Acc: 94.58%
Epoch [29/300], Train Loss: 0.1586, Train Acc: 94.47%
Epoch [30/300], Train Loss: 0.1589, Train Acc: 94.50%
Epoch [31/300], Train Loss: 0.1507, Train Acc: 94.89%
Epoch [32/300], Train Loss: 0.1570, Train Acc: 94.64%
Epoch [33/300], Train Loss: 0.1627, Train Acc: 94.48%
Epoch [34/300], Train Loss: 0.1502, Train Acc: 94.99%
Epoch [35/300], Train Loss: 0.1449, Train Acc: 95.16%
Epoch [36/300], Train Loss: 0.1550, Train Acc: 94.78%
Epoch [37/300], Train Loss: 0.1541, Train Acc: 94.67%
Epoch [38/300], Train Loss: 0.1546, Train Acc: 94.85%
Epoch [39/300], Train Loss: 0.1549, Train Acc: 94.71%
Epoch [40/300], Train Loss: 0.1441, Train Acc: 95.16%
Epoch [41/300], Train Loss: 0.1505, Train Acc: 94.94%
Epoch [42/300], Train Loss: 0.1513, Train Acc: 94.88%
Epoch [43/300], Train Loss: 0.1469, Train Acc: 95.01%
Epoch [44/300], Train Loss: 0.1544, Train Acc: 94.71%
Epoch [45/300], Train Loss: 0.1463, Train Acc: 95.03%
Epoch [46/300], Train Loss: 0.1309, Train Acc: 95.58%
Epoch [47/300], Train Loss: 0.1576, Train Acc: 94.66%
Epoch [48/300], Train Loss: 0.1377, Train Acc: 95.34%
Epoch [49/300], Train Loss: 0.1428, Train Acc: 95.25%
Epoch [50/300], Train Loss: 0.1439, Train Acc: 95.03%
Epoch [51/300], Train Loss: 0.1489, Train Acc: 95.02%
Epoch [52/300], Train Loss: 0.1341, Train Acc: 95.43%
Epoch [53/300], Train Loss: 0.1472, Train Acc: 95.11%
Epoch [54/300], Train Loss: 0.1369, Train Acc: 95.47%
Epoch [55/300], Train Loss: 0.1542, Train Acc: 94.76%
Epoch [56/300], Train Loss: 0.1347, Train Acc: 95.43%
Epoch [57/300], Train Loss: 0.1496, Train Acc: 94.83%
Epoch [58/300], Train Loss: 0.1374, Train Acc: 95.40%
Epoch [59/300], Train Loss: 0.1424, Train Acc: 95.20%
Epoch [60/300], Train Loss: 0.1350, Train Acc: 95.50%
Epoch [61/300], Train Loss: 0.1491, Train Acc: 94.86%
Epoch [62/300], Train Loss: 0.1310, Train Acc: 95.59%
Epoch [63/300], Train Loss: 0.1538, Train Acc: 94.71%
Epoch [64/300], Train Loss: 0.1367, Train Acc: 95.36%
Epoch [65/300], Train Loss: 0.1388, Train Acc: 95.36%
Epoch [66/300], Train Loss: 0.1427, Train Acc: 95.07%
Epoch [67/300], Train Loss: 0.1390, Train Acc: 95.36%
Epoch [68/300], Train Loss: 0.1448, Train Acc: 95.06%
Epoch [69/300], Train Loss: 0.1380, Train Acc: 95.29%
Epoch [70/300], Train Loss: 0.1328, Train Acc: 95.58%
Epoch [71/300], Train Loss: 0.1344, Train Acc: 95.41%
Epoch [72/300], Train Loss: 0.1504, Train Acc: 94.86%
Epoch [73/300], Train Loss: 0.1344, Train Acc: 95.27%
Epoch [74/300], Train Loss: 0.1428, Train Acc: 95.15%
Epoch [75/300], Train Loss: 0.1286, Train Acc: 95.70%
Epoch [76/300], Train Loss: 0.1476, Train Acc: 94.96%
Epoch [77/300], Train Loss: 0.1400, Train Acc: 95.27%
Epoch [78/300], Train Loss: 0.1378, Train Acc: 95.27%
Epoch [79/300], Train Loss: 0.1291, Train Acc: 95.63%
Epoch [80/300], Train Loss: 0.1456, Train Acc: 95.02%
Epoch [81/300], Train Loss: 0.1230, Train Acc: 95.97%
Epoch [82/300], Train Loss: 0.1434, Train Acc: 95.02%
Epoch [83/300], Train Loss: 0.1332, Train Acc: 95.61%
Epoch [84/300], Train Loss: 0.1340, Train Acc: 95.53%
Epoch [85/300], Train Loss: 0.1319, Train Acc: 95.61%
Epoch [86/300], Train Loss: 0.1365, Train Acc: 95.40%
Epoch [87/300], Train Loss: 0.1332, Train Acc: 95.47%
Epoch [88/300], Train Loss: 0.1380, Train Acc: 95.31%
Epoch [89/300], Train Loss: 0.1445, Train Acc: 95.07%
Epoch [90/300], Train Loss: 0.1356, Train Acc: 95.55%
Epoch [91/300], Train Loss: 0.1325, Train Acc: 95.44%
Epoch [92/300], Train Loss: 0.1470, Train Acc: 95.07%
Epoch [93/300], Train Loss: 0.1245, Train Acc: 95.85%
Epoch [94/300], Train Loss: 0.1351, Train Acc: 95.44%
Epoch [95/300], Train Loss: 0.1364, Train Acc: 95.40%
Epoch [96/300], Train Loss: 0.1429, Train Acc: 95.09%
Epoch [97/300], Train Loss: 0.1329, Train Acc: 95.48%
Epoch [98/300], Train Loss: 0.1327, Train Acc: 95.57%
Epoch [99/300], Train Loss: 0.1264, Train Acc: 95.74%
Epoch [100/300], Train Loss: 0.1432, Train Acc: 95.10%
Epoch [101/300], Train Loss: 0.1280, Train Acc: 95.58%
Epoch [102/300], Train Loss: 0.1330, Train Acc: 95.54%
Epoch [103/300], Train Loss: 0.1328, Train Acc: 95.50%
Epoch [104/300], Train Loss: 0.1296, Train Acc: 95.61%
Epoch [105/300], Train Loss: 0.1413, Train Acc: 95.28%
Epoch [106/300], Train Loss: 0.1295, Train Acc: 95.64%
Epoch [107/300], Train Loss: 0.1283, Train Acc: 95.67%
Epoch [108/300], Train Loss: 0.1470, Train Acc: 94.99%
Epoch [109/300], Train Loss: 0.1295, Train Acc: 95.70%
Epoch [110/300], Train Loss: 0.1286, Train Acc: 95.64%
Epoch [111/300], Train Loss: 0.1365, Train Acc: 95.52%
Epoch [112/300], Train Loss: 0.1353, Train Acc: 95.42%
Epoch [113/300], Train Loss: 0.1371, Train Acc: 95.43%
Epoch [114/300], Train Loss: 0.1377, Train Acc: 95.34%
Epoch [115/300], Train Loss: 0.1352, Train Acc: 95.50%
Epoch [116/300], Train Loss: 0.1362, Train Acc: 95.52%
Epoch [117/300], Train Loss: 0.1342, Train Acc: 95.44%
Epoch [118/300], Train Loss: 0.1302, Train Acc: 95.62%
Epoch [119/300], Train Loss: 0.1421, Train Acc: 95.16%
Epoch [120/300], Train Loss: 0.1268, Train Acc: 95.79%
Epoch [121/300], Train Loss: 0.1470, Train Acc: 95.03%
Epoch [122/300], Train Loss: 0.1199, Train Acc: 96.03%
Epoch [123/300], Train Loss: 0.1390, Train Acc: 95.45%
Epoch [124/300], Train Loss: 0.1299, Train Acc: 95.75%
Epoch [125/300], Train Loss: 0.1377, Train Acc: 95.33%
Epoch [126/300], Train Loss: 0.1305, Train Acc: 95.66%
Epoch [127/300], Train Loss: 0.1303, Train Acc: 95.63%
Epoch [128/300], Train Loss: 0.1429, Train Acc: 95.21%
Epoch [129/300], Train Loss: 0.1413, Train Acc: 95.21%
Epoch [130/300], Train Loss: 0.1233, Train Acc: 95.81%
Epoch [131/300], Train Loss: 0.1305, Train Acc: 95.60%
Epoch [132/300], Train Loss: 0.1375, Train Acc: 95.28%
Epoch [133/300], Train Loss: 0.1323, Train Acc: 95.47%
Epoch [134/300], Train Loss: 0.1322, Train Acc: 95.53%
Epoch [135/300], Train Loss: 0.1361, Train Acc: 95.39%
Epoch [136/300], Train Loss: 0.1334, Train Acc: 95.45%
Epoch [137/300], Train Loss: 0.1216, Train Acc: 96.01%
Epoch [138/300], Train Loss: 0.1310, Train Acc: 95.65%
Epoch [139/300], Train Loss: 0.1422, Train Acc: 95.33%
Epoch [140/300], Train Loss: 0.1293, Train Acc: 95.71%
Epoch [141/300], Train Loss: 0.1364, Train Acc: 95.45%
Epoch [142/300], Train Loss: 0.1215, Train Acc: 96.01%
Epoch [143/300], Train Loss: 0.1345, Train Acc: 95.62%
Epoch [144/300], Train Loss: 0.1341, Train Acc: 95.52%
Epoch [145/300], Train Loss: 0.1334, Train Acc: 95.54%
Epoch [146/300], Train Loss: 0.1370, Train Acc: 95.35%
Epoch [147/300], Train Loss: 0.1175, Train Acc: 96.11%
Epoch [148/300], Train Loss: 0.1355, Train Acc: 95.40%
Epoch [149/300], Train Loss: 0.1385, Train Acc: 95.28%
Epoch [150/300], Train Loss: 0.1228, Train Acc: 95.92%
Epoch [151/300], Train Loss: 0.0420, Train Acc: 98.85%
Epoch [152/300], Train Loss: 0.0083, Train Acc: 99.96%
Epoch [153/300], Train Loss: 0.0050, Train Acc: 100.00%
Epoch [154/300], Train Loss: 0.0041, Train Acc: 100.00%
Epoch [155/300], Train Loss: 0.0033, Train Acc: 100.00%
Epoch [156/300], Train Loss: 0.0029, Train Acc: 100.00%
Epoch [157/300], Train Loss: 0.0029, Train Acc: 100.00%
Epoch [158/300], Train Loss: 0.0026, Train Acc: 100.00%
Epoch [159/300], Train Loss: 0.0025, Train Acc: 100.00%
Epoch [160/300], Train Loss: 0.0025, Train Acc: 100.00%
Epoch [161/300], Train Loss: 0.0023, Train Acc: 100.00%
Epoch [162/300], Train Loss: 0.0024, Train Acc: 100.00%
Epoch [163/300], Train Loss: 0.0023, Train Acc: 100.00%
Epoch [164/300], Train Loss: 0.0023, Train Acc: 100.00%
Epoch [165/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [166/300], Train Loss: 0.0023, Train Acc: 100.00%
Epoch [167/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [168/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [169/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [170/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [171/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [172/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [173/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [174/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [175/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [176/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [177/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [178/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [179/300], Train Loss: 0.0022, Train Acc: 100.00%
Epoch [180/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [181/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [182/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [183/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [184/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [185/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [186/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [187/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [188/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [189/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [190/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [191/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [192/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [193/300], Train Loss: 0.0021, Train Acc: 100.00%
Epoch [194/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [195/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [196/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [197/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [198/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [199/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [200/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [201/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [202/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [203/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [204/300], Train Loss: 0.0020, Train Acc: 100.00%
Epoch [205/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [206/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [207/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [208/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [209/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [210/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [211/300], Train Loss: 0.0019, Train Acc: 100.00%
Epoch [212/300], Train Loss: 0.0019, Train Acc: 100.00%
