Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.011457511252164841,99.9725,0.5167820043563843,85.56,0.49879150981903075,0.8609,695.5128648281097
3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.019068496577441692,99.98,0.4897179229736328,85.7,0.48416685962677003,0.8594,695.8090581893921
5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.01145751139447093,99.9725,0.5167820043563843,85.56,0.49879150981903075,0.8609,696.0379354953766
7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.01895095635280013,99.9825,0.4895241982460022,85.71,0.4839610773086548,0.8594,694.9295904636383
9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.032577974580228326,99.6325,0.5081054941177369,85.16,0.5036214190483094,0.8539,695.8807687759399
11,./checkpoints/CIFAR10/Run2_checkpoint_11.pth,0.013277096720039844,99.94,0.48718424167633056,86.16,0.47951653633117675,0.8616,694.79549908638
13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.0159575439915061,99.995,0.48437921257019045,85.83,0.47848633584976197,0.8606,696.7288119792938
15,./checkpoints/CIFAR10/Run2_checkpoint_15.pth,0.02896009641289711,99.7575,0.5044798614501953,85.28,0.49978705644607546,0.8554,695.1111416816711
17,./checkpoints/CIFAR10/Run2_checkpoint_17.pth,0.014904275432229042,99.925,0.5262972106933593,85.34,0.5082980978012085,0.8595,695.3070950508118
19,./checkpoints/CIFAR10/Run2_checkpoint_19.pth,0.009225074961036443,99.9975,0.48776071128845216,85.8,0.48054284992218016,0.861,695.1730048656464
