Dataset,n,col_size,Accuracy_0,Accuracy_1,Delta_1,WeightChange_0_1,BiasChange_0_1
AP_Endometrium_Prostate.csv,130,10935,1.0,1.0,Same,Different,Different
KungChi3.csv,123,39,1.0,0.9919,Decreased,Different,Different
analcatdata_aids.csv,50,4,0.74,0.88,Increased,Different,Different
analcatdata_asbestos.csv,83,3,0.8313,0.9036,Increased,Different,Different
analcatdata_boxing1.csv,120,3,0.725,0.7333,Increased,Different,Different
analcatdata_chlamydia.csv,100,3,0.81,0.81,Same,Different,Different
analcatdata_election2000.csv,67,14,1.0,1.0,Same,Different,Different
analcatdata_michiganacc.csv,108,3,0.7685,0.7685,Same,Different,Different
analcatdata_olympic2000.csv,66,11,1.0,1.0,Same,Different,Different
analcatdata_wildcat.csv,163,5,0.8282,0.8405,Increased,Different,Different
appendicitis.csv,106,7,0.934,0.934,Same,Different,Different
ar1.csv,121,29,0.9752,0.9835,Increased,Different,Different
ar3.csv,63,29,0.9683,0.9683,Same,Different,Different
backache.csv,180,31,1.0,1.0,Same,Different,Different
blogger.csv,100,5,0.88,0.92,Increased,Different,Different
chscase_funds.csv,185,2,0.7135,0.7027,Decreased,Different,Different
chscase_health.csv,50,3,0.72,0.72,Same,Different,Different
chscase_vine1.csv,52,9,1.0,1.0,Same,Different,Different
cloud.csv,108,7,0.7037,0.7963,Increased,Different,Different
cm1_req.csv,89,8,0.8764,0.8764,Same,Different,Different
dbworld-bodies-stemmed.csv,64,3721,0.9688,0.9688,Same,Different,Different
dbworld-bodies.csv,64,4702,0.9844,0.9844,Same,Different,Different
dbworld-subjects.csv,64,242,0.9688,0.9688,Same,Different,Different
elusage.csv,55,2,0.8909,0.8909,Same,Different,Different
fl2000.csv,67,15,0.9851,1.0,Increased,Different,Different
fri_c0_100_50.csv,100,50,1.0,1.0,Same,Different,Different
fri_c1_100_50.csv,100,50,0.97,0.97,Same,Different,Different
fri_c2_100_50.csv,100,50,1.0,1.0,Same,Different,Different
fri_c3_100_50.csv,100,50,0.97,0.97,Same,Different,Different
fri_c4_100_100.csv,100,100,0.99,0.99,Same,Different,Different
hip.csv,54,3,0.8148,0.8148,Same,Different,Different
humandevel.csv,130,1,0.8769,0.8769,Same,Different,Different
kc1-binary.csv,145,94,0.9862,0.9862,Same,Different,Different
kc1-top5.csv,145,94,1.0,1.0,Same,Different,Different
lupus.csv,87,3,0.7701,0.7816,Increased,Different,Different
molecular-biology_promoters.csv,106,57,1.0,1.0,Same,Different,Different
newton_hema.csv,140,3,0.5071,0.5429,Increased,Different,Different
planning-relax.csv,182,12,0.7143,0.7143,Same,Different,Different
pollution.csv,60,15,0.5167,0.9667,Increased,Different,Different
postoperative_patient_data.csv,88,8,0.0227,0.0227,Same,Different,Different
promoters.csv,106,58,1.0,1.0,Same,Different,Different
rabe_176.csv,70,3,0.7286,0.7143,Decreased,Different,Different
rsctc2010_1.csv,105,22283,0.5524,0.5619,Increased,Different,Different
sleuth_case1201.csv,50,6,1.0,1.0,Same,Different,Different
transplant.csv,131,3,1.0,1.0,Same,Different,Different
tumors_C.csv,60,7129,0.9833,1.0,Increased,Different,Different
vineyard.csv,52,2,0.8654,0.8654,Same,Different,Different
visualizing_hamster.csv,73,5,0.5479,0.9315,Increased,Different,Different
visualizing_livestock.csv,130,2,0.8692,0.8846,Increased,Different,Different
witmer_census_1980.csv,50,4,0.88,0.94,Increased,Different,Different
