Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.05297152090370655,98.355,0.22689918138980866,92.91,0.22736028962135316,0.9284,698.0425338745117
2,./checkpoints/CIFAR10/Run2_checkpoint_2.pth,0.05297695051133633,98.3125,0.2362454044342041,92.55,0.22437735695838928,0.9275,696.1807816028595
3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.051463498204946515,98.35,0.2342718581199646,92.78,0.22312112936973572,0.9285,696.8419635295868
5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.05776921009719372,98.255,0.236812482213974,92.53,0.24118140950202943,0.926,698.0634949207306
6,./checkpoints/CIFAR10/Run2_checkpoint_6.pth,0.05044036269038916,98.47,0.22481608035564424,92.84,0.22601244478225707,0.9279,478.621874332428
7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.053676899304986,98.2375,0.22803118970394134,92.83,0.22238940300941468,0.9284,314.87079644203186
9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.07546827318668366,97.755,0.25026562333106994,91.99,0.24777849082946776,0.9219,698.2613382339478
10,./checkpoints/CIFAR10/Run2_checkpoint_10.pth,0.05152233191132546,98.425,0.2297767511844635,92.48,0.22329258999824525,0.9293,696.3298225402832
11,./checkpoints/CIFAR10/Run2_checkpoint_11.pth,0.05037016506791115,98.51,0.22580936512947083,92.74,0.22107526049613951,0.9286,697.4788334369659
13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.05537039595246315,98.3525,0.23322570419311522,92.57,0.22953636569976807,0.9302,697.2842876911163
14,./checkpoints/CIFAR10/Run2_checkpoint_14.pth,0.05245271558761597,98.3475,0.22918949556350707,92.71,0.2255466100692749,0.9277,697.3797953128815
15,./checkpoints/CIFAR10/Run2_checkpoint_15.pth,0.05181526215970516,98.375,0.2310804557800293,92.84,0.22348699645996092,0.9281,697.4530036449432
17,./checkpoints/CIFAR10/Run2_checkpoint_17.pth,0.08055986596941948,97.5875,0.26327547738552093,91.79,0.25548386664390565,0.9198,698.5679531097412
18,./checkpoints/CIFAR10/Run2_checkpoint_18.pth,0.05170787319540977,98.4925,0.22868863334655762,92.97,0.22752320766448975,0.928,697.3736002445221
19,./checkpoints/CIFAR10/Run2_checkpoint_19.pth,0.052494087371230125,98.405,0.23098129622936248,92.6,0.22399328904151916,0.9295,697.3836493492126
