Dataset,N,Mismatch,FlipTry,Flipped,Flip_Percentage
AP_Breast_Colon.csv,630,1,1,2,0.32
AP_Breast_Kidney.csv,604,1,1,1,0.17
AP_Breast_Lung.csv,470,1,1,31,6.60
AP_Breast_Omentum.csv,421,1,1,42,9.98
AP_Breast_Ovary.csv,542,1,1,18,3.32
AP_Breast_Prostate.csv,413,1,1,4,0.97
AP_Breast_Uterus.csv,468,1,1,1,0.21
AP_Colon_Kidney.csv,546,1,1,5,0.92
AP_Colon_Lung.csv,412,1,1,1,0.24
AP_Colon_Omentum.csv,363,1,1,1,0.28
AP_Colon_Ovary.csv,484,1,1,1,0.21
AP_Colon_Prostate.csv,355,1,1,7,1.97
AP_Colon_Uterus.csv,410,1,1,1,0.24
AP_Endometrium_Breast.csv,405,1,1,8,1.98
AP_Endometrium_Colon.csv,347,1,1,4,1.15
AP_Endometrium_Kidney.csv,321,1,1,3,0.93
AP_Endometrium_Lung.csv,187,1,1,1,0.53
AP_Endometrium_Omentum.csv,138,1,1,2,1.45
AP_Endometrium_Ovary.csv,259,1,1,20,7.72
AP_Endometrium_Prostate.csv,130,1,1,3,2.31
AP_Endometrium_Uterus.csv,185,1,1,8,4.32
AP_Lung_Kidney.csv,386,1,1,8,2.07
AP_Lung_Uterus.csv,250,1,1,9,3.60
AP_Omentum_Kidney.csv,337,1,1,5,1.48
AP_Omentum_Lung.csv,203,1,1,1,0.49
AP_Omentum_Prostate.csv,146,1,1,13,8.90
AP_Omentum_Uterus.csv,201,7,1,71,35.32
AP_Ovary_Kidney.csv,458,1,1,28,6.11
AP_Ovary_Lung.csv,324,1,1,1,0.31
AP_Ovary_Uterus.csv,322,1,1,2,0.62
AP_Prostate_Kidney.csv,329,1,1,7,2.13
AP_Prostate_Lung.csv,195,1,1,18,9.23
AP_Prostate_Ovary.csv,267,1,1,6,2.25
AP_Prostate_Uterus.csv,193,1,1,3,1.55
AP_Uterus_Kidney.csv,384,1,1,5,1.30
anthracyclineTaxaneChemotherapy.csv,159,1,1,2,1.26
arcene.csv,200,1,1,17,8.50
Australian.csv,690,1,1,1,0.14
CastMetal1.csv,327,1,1,9,2.75
CostaMadre1.csv,296,1,1,10,3.38
KnuggetChase3.csv,194,1,1,2,1.03
KungChi3.csv,123,1,1,6,4.88
MeanWhile1.csv,253,1,1,10,3.95
MegaWatt1.csv,253,1,1,12,4.74
MindCave2.csv,125,1,1,1,0.80
PieChart2.csv,745,1,1,3,0.40
PizzaCutter1.csv,661,1,1,6,0.91
SPECTF.csv,349,1,1,43,12.32
analcatdata_apnea1.csv,475,1,1,9,1.89
analcatdata_apnea2.csv,475,1,1,7,1.47
analcatdata_apnea3.csv,450,1,1,7,1.56
analcatdata_authorship.csv,841,1,1,1,0.12
analcatdata_lawsuit.csv,264,1,1,14,5.30
analcatdata_michiganacc.csv,108,1,1,5,4.63
analcatdata_boxing1.csv,120,1,1,1,0.83
analcatdata_boxing2.csv,132,1,1,9,6.82
analcatdata_creditscore.csv,100,1,1,1,1.00
analcatdata_seropositive.csv,132,1,1,7,5.30
analcatdata_vineyard.csv,468,1,1,4,0.85
analcatdata_wildcat.csv,163,1,1,7,4.29
appendicitis.csv,106,1,1,29,27.36
ar4.csv,107,1,1,4,3.74
ar6.csv,101,1,1,5,4.95
arsenic-female-bladder.csv,559,1,1,2,0.36
arsenic-female-lung.csv,559,1,1,9,1.61
arsenic-male-bladder.csv,559,1,1,12,2.15
arsenic-male-lung.csv,559,1,1,13,2.33
autoPrice.csv,159,1,1,1,0.63
autoUniv-au1-1000.csv,1000,1,1,6,0.60
auto_price.csv,159,1,1,2,1.26
badges2.csv,294,1,1,2,0.68
blogger.csv,100,1,1,27,27.00
bodyfat.csv,252,1,1,1,0.40
boston.csv,506,1,1,2,0.40
boston_corrected.csv,506,1,1,1,0.20
breast-cancer-dropped-missing-attributes-values.csv,277,1,1,9,3.25
breast.csv,699,1,1,2,0.29
breast_cancer.csv,286,1,1,16,5.59
buggyCrx.csv,690,1,1,4,0.58
bupa.csv,345,1,1,14,4.06
chatfield_4.csv,235,1,1,5,2.13
chscase_census2.csv,400,1,1,3,0.75
chscase_census3.csv,400,1,1,1,0.25
chscase_census4.csv,400,1,1,1,0.25
chscase_census5.csv,400,1,1,1,0.25
chscase_census6.csv,400,1,1,3,0.75
chscase_funds.csv,185,1,1,1,0.54
chscase_geyser1.csv,222,1,1,2,0.90
chscase_vine2.csv,468,1,1,14,2.99
corral.csv,160,1,1,14,8.75
cpu.csv,209,1,1,1,0.48
credit-g.csv,1000,1,1,3,0.30
clean1.csv,476,1,1,1,0.21
cleve.csv,303,1,1,2,0.66
cloud.csv,108,1,1,1,0.93
diggle_table_a2.csv,310,1,1,5,1.61
disclosure_x_bias.csv,662,1,1,16,2.42
disclosure_x_noise.csv,662,1,1,24,3.63
disclosure_x_tampered.csv,662,1,1,2,0.30
disclosure_z.csv,662,1,1,6,0.91
fertility.csv,100,4,1,7,7.00
fishcatch.csv,158,1,1,9,5.70
fri_c0_1000_10.csv,1000,1,1,2,0.20
credit_a.csv,690,1,1,3,0.43
credit_g.csv,1000,1,1,1,0.10
crx.csv,690,1,1,1,0.14
datatrieve.csv,130,1,1,1,0.77
fri_c0_1000_25.csv,1000,1,1,2,0.20
fri_c0_1000_5.csv,1000,1,1,4,0.40
fri_c0_1000_50.csv,1000,1,1,3,0.30
fri_c0_100_10.csv,100,1,1,4,4.00
fri_c0_100_25.csv,100,1,1,1,1.00
fri_c0_100_5.csv,100,1,1,3,3.00
fri_c0_100_50.csv,100,1,1,6,6.00
fri_c0_250_10.csv,250,1,1,2,0.80
fri_c0_250_25.csv,250,1,1,1,0.40
fri_c0_250_5.csv,250,1,1,1,0.40
fri_c0_250_50.csv,250,1,1,2,0.80
fri_c0_500_10.csv,500,1,1,2,0.40
fri_c0_500_25.csv,500,1,1,1,0.20
fri_c0_500_5.csv,500,1,1,2,0.40
fri_c0_500_50.csv,500,1,1,7,1.40
fri_c1_1000_10.csv,1000,1,1,14,1.40
fri_c1_1000_25.csv,1000,1,1,5,0.50
fri_c1_1000_5.csv,1000,1,1,6,0.60
fri_c1_1000_50.csv,1000,1,1,183,18.30
fri_c1_100_10.csv,100,1,1,1,1.00
fri_c1_100_25.csv,100,1,1,3,3.00
