Dataset,Min_Flip,Max_Flip,Median_Flip,Min_F1,Max_F1,Median_F1
AP_Breast_Colon.csv,0.16,4.92,0.71,0.9780439121756488,0.994328922495274,0.9922479455553386
AP_Breast_Kidney.csv,0.17,5.13,0.99,0.9869565217391304,0.9979035639412998,0.9913221895941571
AP_Breast_Lung.csv,0.21,25.74,2.5549999999999997,0.0,1.0,0.9911442006269593
AP_Breast_Omentum.csv,0.24,9.26,0.71,0.9848484848484848,0.9931972789115646,0.9927007299270072
AP_Breast_Ovary.csv,0.18,5.54,1.0150000000000001,0.9772727272727272,0.9971988795518208,0.9900088446293445
AP_Breast_Prostate.csv,0.48,38.5,3.87,0.0,1.0,1.0
AP_Breast_Uterus.csv,0.21,21.79,0.64,0.9661016949152542,1.0,0.9912280701754386
AP_Colon_Kidney.csv,0.37,4.4,0.73,0.9868995633187772,1.0,0.9936575052854124
AP_Colon_Lung.csv,0.49,7.28,2.31,0.9421487603305784,1.0,0.9954747425108013
AP_Colon_Omentum.csv,0.28,3.58,1.1,0.8930817610062893,1.0,0.9822641886490808
AP_Colon_Ovary.csv,0.21,13.43,1.03,0.9700272479564032,0.9971181556195964,0.9861495844875346
AP_Colon_Prostate.csv,0.28,6.48,1.27,0.9481481481481482,1.0,0.9879984514130855
AP_Colon_Uterus.csv,0.24,34.15,1.705,0.0666666666666666,1.0,0.9907832144070676
AP_Endometrium_Breast.csv,0.25,9.63,2.1,0.9867109634551496,1.0,1.0
AP_Endometrium_Colon.csv,0.29,4.9,1.73,0.9660678642714572,1.0,1.0
AP_Endometrium_Kidney.csv,0.31,9.03,4.515000000000001,0.9823788546255506,1.0,1.0
AP_Endometrium_Lung.csv,0.53,12.3,3.74,0.9771689497716894,1.0,1.0
AP_Endometrium_Omentum.csv,0.72,16.67,2.9,0.9523809523809524,1.0,0.9726027397260274
AP_Endometrium_Ovary.csv,0.39,8.49,1.93,0.9831460674157304,1.0,1.0
AP_Endometrium_Prostate.csv,0.77,36.15,3.08,1.0,1.0,1.0
AP_Endometrium_Uterus.csv,0.54,9.73,1.35,0.8100358422939068,0.9955947136563876,0.9774963108706345
AP_Lung_Kidney.csv,0.26,9.33,0.26,0.9395973154362416,1.0,0.9912796880538817
AP_Lung_Uterus.csv,0.4,15.6,1.2,0.6607142857142857,1.0,0.9865470852017936
AP_Omentum_Kidney.csv,0.3,6.23,1.48,0.9848812095032398,1.0,1.0
AP_Omentum_Lung.csv,0.49,15.27,1.97,0.976525821596244,1.0,0.986784140969163
AP_Omentum_Ovary.csv,0.36,8.36,1.45,0.0,0.9942857142857144,0.9826589595375722
AP_Omentum_Prostate.csv,1.37,9.59,5.48,0.9682539682539684,1.0,0.992
AP_Omentum_Uterus.csv,0.5,11.44,1.74,0.9528301886792452,1.0,0.9909023240426763
AP_Ovary_Kidney.csv,0.22,3.06,1.42,0.9779735682819384,1.0,0.9957163823151716
AP_Ovary_Lung.csv,0.31,12.04,0.93,0.9696969696969696,1.0,0.978902953586498
AP_Ovary_Uterus.csv,0.31,4.97,1.24,0.9688888888888888,0.9908256880733946,0.986046511627907
AP_Prostate_Kidney.csv,0.3,5.78,1.22,0.9848156182212582,1.0,0.997867803837953
AP_Prostate_Lung.csv,0.51,12.82,3.335,0.9771689497716894,1.0,0.997854077253219
AP_Prostate_Ovary.csv,0.37,6.74,1.5,0.9971830985915492,1.0,1.0
AP_Prostate_Uterus.csv,0.52,9.33,1.295,0.9953051643192488,1.0,1.0
AP_Uterus_Kidney.csv,0.26,10.42,1.04,0.980561555075594,1.0,1.0
Australian.csv,0.14,0.58,0.29,0.8543689320388349,0.875,0.8619402985074627
CastMetal1.csv,0.92,5.5,1.525,0.0,0.0512820512820512,0.0
CostaMadre1.csv,0.34,4.05,1.1800000000000002,0.0,0.25,0.0
KnuggetChase3.csv,0.52,10.31,5.415,0.0,0.1290322580645161,0.0
KungChi3.csv,0.81,9.76,4.88,0.0,0.7857142857142857,0.3014705882352941
MeanWhile1.csv,0.4,9.49,1.58,0.0,0.2068965517241379,0.0
MegaWatt1.csv,0.4,7.51,1.98,0.0,0.0869565217391304,0.0
