Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,ARI
AP_Breast_Colon.csv,630,10935,0.9940476190476192,0.992063492063492,0.9940476190476192,0.0102124409750103,0.0113224098458886,0.0106412954628467,0.9603174603174603,0.9761904761904762,0.9523809523809524,0.2560197114944458,0.4025679528713226,1.0059521198272705,Increased,Decreased,Decreased,Increased,0
AP_Breast_Lung.csv,470,10935,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.0261411163955926,0.0204172264784574,0.0270862802863121,0.9574468085106383,0.9680851063829788,0.9787234042553192,0.16840361058712,0.2350937277078628,0.2761017382144928,Same,Increased,Increased,Increased,0
AP_Breast_Omentum.csv,421,10935,0.9791666666666666,0.9761904761904762,0.9791666666666666,0.1241193413734436,0.1164436116814613,0.1129261404275894,0.9647058823529412,0.9529411764705882,0.9529411764705882,0.1596289426088333,0.1525326818227768,0.1634399741888046,Increased,Same,Decreased,Increased,0
AP_Breast_Ovary.csv,542,10935,0.9976905311778292,0.9976905311778292,0.9976905311778292,0.0413978584110736,0.0362002290785312,0.0444224961102008,0.963302752293578,0.9724770642201837,0.9908256880733946,0.1021822765469551,0.0935264974832534,0.0456524714827537,Same,Increased,Increased,Decreased,0
AP_Breast_Prostate.csv,413,10935,1.0,1.0,1.0,0.0017908226000145,0.0001260553835891,0.0071735917590558,0.963855421686747,0.963855421686747,0.963855421686747,0.1289822459220886,0.1989603787660598,0.1112039312720298,Same,Same,Increased,Decreased,0
AP_Breast_Uterus.csv,468,10935,0.997326203208556,1.0,1.0,0.0377528257668018,0.0139514375478029,0.0337838008999824,0.9361702127659576,0.946808510638298,0.9361702127659576,0.2775807976722717,0.4213689863681793,0.3401376903057098,Same,Decreased,Increased,Decreased,0
AP_Colon_Kidney.csv,546,10935,0.9954128440366972,0.9977064220183486,0.9977064220183486,0.0265366770327091,0.0093165189027786,0.0101205101236701,0.9636363636363636,0.9818181818181818,0.9818181818181818,0.0914311558008194,0.0875909477472305,0.0576117075979709,Same,Same,Increased,Decreased,0
AP_Colon_Omentum.csv,363,10935,0.9896551724137932,0.996551724137931,0.993103448275862,0.0451542325317859,0.021413205191493,0.0308454781770706,0.8904109589041096,0.9178082191780822,0.8904109589041096,0.1858769953250885,0.3144329488277435,0.2454856485128402,Decreased,Decreased,Increased,Decreased,0
AP_Colon_Ovary.csv,484,10935,0.9741602067183462,0.9844961240310076,0.979328165374677,0.1999994665384292,0.1473844647407531,0.0602931566536426,0.9175257731958762,0.9278350515463918,0.9381443298969072,0.4279641211032867,0.5971766114234924,0.2420717179775238,Decreased,Increased,Decreased,Decreased,0
AP_Colon_Prostate.csv,355,10935,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.1748678535223007,0.166694238781929,0.1764423549175262,0.8169014084507042,0.8169014084507042,0.8169014084507042,0.2278842329978943,0.366742730140686,0.3277534246444702,Same,Same,Increased,Decreased,0
